"Latitude","Longitude","group","Response"
55.227211,-131.7605743,"Small mammal",29218
58.37899017,-135.6920624,"Small mammal",0
55.81415939,-132.9919281,"Small mammal",0
55.81296921,-132.985611,"Small mammal",0
56.23733139,-132.9662628,"Small mammal",1475.5
55.45339966,-132.8437958,"Small mammal",0
55.90185928,-132.7718353,"Small mammal",0
55.82205963,-132.9428253,"Small mammal",0
55.81938934,-132.9377441,"Small mammal",0
55.4696312,-133.4322815,"Small mammal",4760
55.79018021,-132.7649384,"Small mammal",0
55.80765915,-132.9059448,"Small mammal",0
55.80765915,-132.9059448,"Small mammal",0
55.80765915,-132.9059448,"Small mammal",0
55.80765915,-132.9059448,"Small mammal",0
55.80765915,-132.9059448,"Small mammal",0
55.51713181,-133.589386,"Small mammal",0
55.765079,-132.709747,"Small mammal",0
55.81227875,-132.9180756,"Small mammal",4447
55.8151207,-132.5172882,"Small mammal",5062
55.81246948,-132.9187164,"Small mammal",0
55.78926849,-133.0119476,"Small mammal",0
55.76631927,-132.5302887,"Small mammal",0
55.8713913,-133.0990448,"Small mammal",1448
55.79018021,-132.7649384,"Small mammal",0
55.83010101,-132.9758759,"Small mammal",0
55.76828003,-133.1081238,"Small mammal",0
55.75915909,-133.1096802,"Small mammal",0
55.89429092,-132.6202545,"Small mammal",0
55.76729965,-132.5299988,"Small mammal",0
55.84494019,-132.9813538,"Small mammal",0
55.79645157,-132.8095093,"Small mammal",0
55.81938934,-132.9377441,"Small mammal",0
56.15687943,-133.2737122,"Small mammal",0
55.80604935,-132.9016876,"Small mammal",0
55.80604935,-132.9016876,"Small mammal",0
55.314186,-132.466474,"Small mammal",0
55.81729889,-132.93573,"Small mammal",0
55.75569153,-132.7000427,"Small mammal",1404.5
55.3514595,-132.8460083,"Small mammal",0
55.81227875,-132.9180756,"Small mammal",0
55.79800034,-132.8127594,"Small mammal",0
55.79666901,-132.8097687,"Small mammal",0
55.79275894,-132.8105164,"Small mammal",0
55.79296112,-132.8105164,"Small mammal",0
55.79296112,-132.8105164,"Small mammal",0
55.79296112,-132.8105164,"Small mammal",0
55.82406998,-133.2350769,"Small mammal",0
55.82406998,-133.2350769,"Small mammal",0
55.82352829,-133.2353058,"Small mammal",0
55.82382965,-133.2353058,"Small mammal",0
55.81412888,-132.5178223,"Small mammal",134342.5
55.80408096,-132.497757,"Small mammal",71408
55.01863098,-133.010376,"Small mammal",1077
55.82455063,-133.0107269,"Small mammal",0
55.83147049,-132.9945984,"Small mammal",0
55.81203079,-132.9429016,"Small mammal",0
55.746,-132.8342,"Small mammal",0
55.77838135,-132.8698273,"Small mammal",0
55.68782043,-132.8612823,"Small mammal",0
55.45341873,-132.8434753,"Small mammal",0
55.78409958,-132.7604065,"Small mammal",0
